Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Li ChunHui, Li ChunHui; Li YongXiang, Li YongXiang; Bradbury, PJ; Wu Xun, Wu Xun; Shi YunSu, Shi YunSu; Song YanChun, Song YanChun; Zhang DengFeng, Zhang DengFeng; Rodgers-Melnick, E; Buckler, ES; Zhang, ZW; ",Construction of high-quality recombination maps with low-coverage genomic sequencing for joint linkage analysis in maize.,,,,,2015,
"Huang XueHui, Huang XueHui; Wei XingHua, Wei XingHua; Sang, T; Zhao Qiang, Zhao Qiang; Feng Qi, Feng Qi; Zhao Yan, Zhao Yan; Li CanYang, Li CanYang; Zhu ChuanRang, Zhu ChuanRang; Lu TingTing, Lu TingTing; Zhang, ZW; ",Genome-wide association studies of 14 agronomic traits in rice landraces.,,,,,2010,
"Li YongXiang, Li YongXiang; Chen Lin, Chen Lin; Li ChunHui, Li ChunHui; Bradbury, PJ; Shi YunSu, Shi YunSu; Song YanChun, Song YanChun; Zhang DengFeng, Zhang DengFeng; Zhang ZhiWu, Zhang ZhiWu; Buckler, ES; Li Yu, Li Yu; ",Increased experimental conditions and marker densities identified more genetic loci associated with southern and northern leaf blight resistance in maize.,,,,,2018,
"Liu XiaoLei, Liu XiaoLei; Huang Meng, Huang Meng; Fan Bin, Fan Bin; Buckler, ES; Zhang ZhiWu, Zhang ZhiWu; ",Iterative usage of fixed and random effect models for powerful and efficient genome-wide association studies.,,,,,2016,
"Yang ChinJian, Yang ChinJian; Samayoa, LF; Bradbury, PJ; Olukolu, BA; Xue Wei, Xue Wei; York, AM; Tuholski, MR; Wang WeiDong, Wang WeiDong; Daskalska, LL; Neumeyer, MA; ",The genetic architecture of teosinte catalyzed and constrained maize domestication.,,,,,2019,
"Sun SiLong, Sun SiLong; Zhou YingSi, Zhou YingSi; Chen Jian, Chen Jian; Shi JunPeng, Shi JunPeng; Zhao HaiMing, Zhao HaiMing; Zhao HaiNan, Zhao HaiNan; Song WeiBin, Song WeiBin; Zhang Mei, Zhang Mei; Cui Yang, Cui Yang; Dong XiaoMei, Dong XiaoMei; ",Extensive intraspecific gene order and gene structural variations between Mo17 and other maize genomes.,,,,,2018,
"Zhou ShaoQun, Zhou ShaoQun; Kremling, KA; Bandillo, N; Richter, A; Zhang, YK; Ahern, KR; Artyukhin, AB; Hui, JX; Younkin, GC; Schroeder, FC; ",Metabolome-scale genome-wide association studies reveal chemical diversity and genetic control of maize specialized metabolites.,,,,,2019,
"Bukowski Robert, Bukowski Robert; Guo XiaoSen, Guo XiaoSen; Lu YanLi, Lu YanLi; Zou Cheng, Zou Cheng; He Bing, He Bing; Rong ZhengQin, Rong ZhengQin; Wang Bo, Wang Bo; Xu DaWen, Xu DaWen; Yang BiCheng, Yang BiCheng; Xie ChuanXiao, Xie ChuanXiao; ",Construction of the third-generation Zea mays haplotype map.,,,,,2018,
"Yan JianBing, Yan JianBing; Kandianis, CB; Harjes, CE; Bai, L; Kim, EH; Yang XiaoHong, Yang XiaoHong; Skinner, DJ; Fu ZhiYuan, Fu ZhiYuan; Mitchell, S; Li Qing, Li Qing; ",Rare genetic variation at Zea mays crtRB1 increases β-carotene in maize grain.,,,,,2010,
"Li ChunHui, Li ChunHui; Sun BaoCheng, Sun BaoCheng; Li YongXiang, Li YongXiang; Liu Cheng, Liu Cheng; Wu Xun, Wu Xun; Zhang DengFeng, Zhang DengFeng; Shi YunSu, Shi YunSu; Song YanChun, Song YanChun; Buckler, ES; Zhang ZhiWu, Zhang ZhiWu; ",Numerous genetic loci identified for drought tolerance in the maize nested association mapping populations.,,,,,2016,
"Li ChunHui, Li ChunHui; Li YongXiang, Li YongXiang; Shi YunSu, Shi YunSu; Song YanChun, Song YanChun; Zhang DengFeng, Zhang DengFeng; Buckler, ES; Zhang ZhiWu, Zhang ZhiWu; Li Yu, Li Yu; Wang TianYu, Wang TianYu; ","Analysis of recombination QTLs, segregation distortion, and epistasis for fitness in maize multiple populations using ultra-high-density markers.",,,,,2016,
"Ravi Valluru, Ravi Valluru; Gazave, EE; Fernandes, SB; Ferguson, JN; Lozano, R; Pradeep Hirannaiah, Pradeep Hirannaiah; Zuo Tao, Zuo Tao; Brown, PJ; Leakey, ADB; Gore, MA; ",Deleterious mutation burden and its association with complex traits in sorghum (Sorghum bicolor).,,,,,2019,
"Li YongXiang, Li YongXiang; Li ChunHui, Li ChunHui; Bradbury, PJ; Liu XiaoLei, Liu XiaoLei; Lu Fei, Lu Fei; Romay, CM; Glaubitz, JC; Wu Xun, Wu Xun; Peng Bo, Peng Bo; Shi YunSu, Shi YunSu; ",Identification of genetic variants associated with maize flowering time using an extremely large multi-genetic background population.,,,,,2016,
"Liu ZhengBin, Liu ZhengBin; Cook, J; Melia-Hancock, S; Guill, K; Bottoms, C; Garcia, A; Ott, O; Nelson, R; Recker, J; Balint-Kurti, P; ",Expanding maize genetic resources with predomestication alleles: maize-teosinte introgression populations.,,,,,2016,
"Gorjifard, Sayeh; Jores, Tobias; Tonnies, Jackson; Mueth, Nicholas A; Bubb, Kerry; Wrightsman, Travis; Buckler, Edward S; Fields, Stanley; Cuperus, Josh T; Queitsch, Christine; ","Arabidopsis and maize terminator strength is determined by GC content, polyadenylation motifs and cleavage probability",Nature Communications,15,1,5868,2024,Nature Publishing Group UK London
"Yang JinLiang, Yang JinLiang; Mezmouk, S; Baumgarten, A; Buckler, ES; Guill, KE; McMullen, MD; Mumm, RH; Ross-Ibarra, J; ",Incomplete dominance of deleterious alleles contributes substantially to trait variation and heterosis in maize.,,,,,2017,
"Yan JianBing, Yan JianBing; Shah, T; Warburton, ML; Buckler, ES; McMullen, MD; Crouch, J; ",Genetic characterization and linkage disequilibrium estimation of a global maize collection using SNP markers.,,,,,2009,
"Zhang XueCai, Zhang XueCai; Pérez-Rodríguez, P; Burgueño, J; Olsen, M; Buckler, E; Atlin, G; Prasanna, BM; Vargas, M; Vicente, FS; Crossa, J; ",Rapid cycling genomic selection in a multiparental tropical maize population.,,,,,2017,
"Li HuiHui, Li HuiHui; Bradbury, P; Ersoz, E; Buckler, ES; Wang JianKang, Wang JianKang; ",Joint QTL linkage mapping for multiple-cross mating design sharing one common parent.,,,,,2011,
"Long, Evan M; Stitzer, Michelle; Monier, Brandon; Schulz, Aimee J; Romay, M Cinta; Robbins, Kelly R; Buckler, Edward S; ",Muller’s Ratchet in Action: The Erosion of Sexual Reproduction Genes in Domesticated Cassava (Manihot esculenta),bioRxiv,,,2024.02. 14.580345,2024,Cold Spring Harbor Laboratory
"Baseggio, Matheus; Murray, Matthew; Wu, Di; Ziegler, Gregory; Kaczmar, Nicholas; Chamness, James; Hamilton, John P; Buell, C Robin; Vatamaniuk, Olena K; Buckler, Edward S; ",Genome-wide association study reveals an independent genetic basis of zinc and cadmium concentrations in fresh sweet corn kernels,bioRxiv,,,2021.02. 19.432009,2021,Cold Spring Harbor Laboratory
"Bass, Hank W; Vera, Daniel L; Rodgers-Melnick, Eli; Buckler, Edward S; ",Florida State University,"Tallahassee, FL",,,,,
"Campidilli, Grace; Stitzer, Michelle; Buckler, Edward; ",Adaptation and Jumping Genes: Computational Analyses of Transposable Element Behavior across Maize Genotypes,"ASA, CSSA, SSSA International Annual Meeting",,,,2021,ASA-CSSA-SSSA
"Swarts, K; Bradbury, P; Bauer, E; Blake, M; Glaubitz, J; Gutaker, R; Krause, J; Kruse-Peeples, M; Larsson, S; Matson, RG; ",Evolution of temperate maize in North America,58th Annual Maize Genetics Conference,,,78,2016,
"Lu, Fei; Romay, Cinta; Glaubitz, Jeff; Bradbury, Peter J; Elshire, Robert; Buckler, Edward; ",The Global Landscape and Functional Impact Of Copy Number Variation In Maize.,"ASA, CSSA and SSSA International Annual Meetings (2013)",,,,2013,ASA-CSSA-SSSA
"Gore, Michael A; Lipka, Alexander; Magallanes-Lundback, Maria; Mesberg, Alex; Bradbury, Peter J; Angelovici, Ruthie; Jorge, Sabrina Gonzalez; Tiede, Tyler; Cepela, Jason; Vaillancourt, Brieanne; ",From QTL to Gene: Building a Genetic Foundation for Maize Biofortification.,"ASA, CSSA and SSSA International Annual Meetings (2013)",,,,2013,ASA-CSSA-SSSA
"Gore, Michael; Costich, Denise; Denton, Michelle; Buckler, Edward; ",Nuclear Genome Size Variation within Maize and Teosinte.,"2010 Annual Meeting (Oct. 31-Nov. 3, 2010)",,,,2010,ASA-CSSA-SSSA
"Costich, Denise; Friebe, Bernd; Sheehan, Moira; Casler, Michael; Buckler, Edward; ",Genome-Size Variation In Switchgrass (Panicum virgatum): Examination of the Origin and Consequences of Aneuploidy.,"2010 Annual Meeting (Oct. 31-Nov. 3, 2010)",,,,2010,ASA-CSSA-SSSA
"Mitchell, Sharon; Elshire, Robert; Glaubitz, JC; Sun, Q; Ware, Doreen; Gore, Michael; Schweitzer, PA; Buckler, Edward; ",Reduced Representation Sequencing for Rapidly Genotyping Diverse Species.,"2010 Annual Meeting (Oct. 31-Nov. 3, 2010)",,,,2010,ASA-CSSA-SSSA
"White, Jeffrey; Holland, James; Buckler, Edward; Hung, Hsiao-Yi; ",Modeling Flowering Time in a Maize Nested Association Mapping Population.,"2010 Annual Meeting (Oct. 31-Nov. 3, 2010)",,,,2010,ASA-CSSA-SSSA
"Wrightsman, Travis; Ferebee, Taylor H; Romay, M Cinta; Seetharam, Arun S; AuBuchon-Elder, Taylor; Phillips, Alyssa R; Syring, Michael; Hufford, Matthew B; Kellogg, Elizabeth A; Buckler, Edward S; ",Current genomic deep learning architectures generalize across grass species but not alleles,bioRxiv,,,2024.04. 11.589024,2024,Cold Spring Harbor Laboratory
"Gardner, Candice; Romay-Alvarez, Maria; Millard, Mark; Flint-Garcia, Sherry; Holland, James; Buckler, Edward; ",Using High-Throughput Genotyping Information to Aid in Managing a Large Maize Collection.,"ASA, CSSA and SSSA Annual Meetings (Cincinnati, OH-Oct. 21-Oct. 24, 2012)",,,,2012,ASA-CSSA-SSSA
"Buckler, Ed; Flint-Garcia, Sherry; Holland, James B; Ross-Ibarra, Jeffrey; Mitchell, Sharon E; Doebley, John; Sun, Qi; Bradbury, Peter J; Ware, Doreen H; ",Panzea,,,,,,
"Hsu, Sheng-Kai; Emmett, Bryan D; Haafke, Alexandria; Costa-Neto, Germano; Schulz, Aimee J; Lepak, Nicholas; La, Thuy; AuBuchon-Elder, Taylor; Hale, Charles; Raglin, Sierra S; ",Contrasting Rhizosphere Nitrogen Dynamics in Andropogoneae Grasses: Implications for Sustainable Agriculture,bioRxiv,,,2024.06. 03.597142,2024,Cold Spring Harbor Laboratory
"Zhai, J; Gokaslan, A; Schiff, Y; Berthel, A; Liu, Z; Miller, ZR; Scheben, A; Stitzer, MC; Romay, C; Buckler, ES; ",Cross-species plant genomes modeling at single nucleotide resolution using a pre-trained DNA language model,,,,,2024,
"Buckler, Edward S; Ramstein, Guillaume; Wang, Hai; Washburn, Jacob D; Kremling, Karl A; Mejia-Guerra, Maria Katherine; Valluru, Ravi; ",Evolutionarily informed deep learning methods for predicting relative transcript abundance from DNA sequence,,,,,,University of Lincoln
"Li, Tianyi; Xu, Hui; Teng, Shouzhen; Suo, Mingrui; Bahitwa, Revocatus; Xu, Mingchi; Qian, Yiheng; Ramstein, Guillaume P; Song, Baoxing; Buckler, Edward S; ",Modeling 0.6 million genes for the rational design of functional cis-regulatory variants and de novo design of cis-regulatory sequences,Proceedings of the National Academy of Sciences,121,26,e2319811121,2024,National Academy of Sciences
"Miller, Zachary; Johnson, Lynn C; Casstevens, Terry; Bradbury, Peter; Monier, Brandon; Berthel, Ana; Buckler, Edward S; ",Introducing the Practical Haplotype Graph Version 2: A Streamlined and Simple Pangenome System,"Plant and Animal Genome Conference/PAG 31 (January 12-17, 2024)",,,,,PAG
"Buckler, Edward S; ",Leveraging AI & Haplotype Graphs for Grass Functional Variation Discovery,"Plant and Animal Genome Conference/PAG 31 (January 12-17, 2024)",,,,2024,PAG
"Zhai, Jingjing; Gokaslan, Aaron; Schiff, Yair; Berthel, Ana; Liu, Zong-Yan; Miller, Zachary R; Scheben, Armin; Stitzer, Michelle C; Romay, M Cinta; Buckler, Edward S; ",Cross-species modeling of plant genomes at single nucleotide resolution using a pre-trained DNA language model,bioRxiv,,,2024.06. 04.596709,2024,Cold Spring Harbor Laboratory
"Li, Forrest; Gates, Daniel J; Buckler, Edward S; Hufford, Matthew B; Janzen, Garrett M; Rellán-Álvarez, Rubén; Rodríguez-Zapata, Fausto; Navarro, J Alberto Romero; Sawers, Ruairidh JH; Snodgrass, Samantha J; ",The utility of environmental data from traditional varieties for climate-adaptive maize breeding,bioRxiv,,,2024.09. 19.613351,2024,Cold Spring Harbor Laboratory
"Maghsood, Fatemeh; Romay, Maria Cinta; Buckler, Edward S; Messina, Carlos; ",Assessment of Altered Maize Traits for Enhanced Yield and Reduced GHG Emissions.,"ASA, CSSA, SSSA International Annual Meeting",,,,2024,ASA-CSSA-SSSA
"Digrado, Anthony; Montes, Christopher M; Casey, Kramer; Herr, Sam; Hisse, Ignacio R; Kettler, Cody; Stokes, Ruthie; Montalvo, Ela Jusino; Rellán-Álvarez, Rubén; de Leon, Natalia; ",Dynamic of Soil N2O Emission in Diverse Corn Hybrids across Multiple Sites.,"ASA, CSSA, SSSA International Annual Meeting",,,,2024,ASA-CSSA-SSSA
"Romay, Maria Cinta; Ainsworth, Elizabeth A; Angelovici, Ruthie; Basso, Bruno; Brooks, Matthew; Busch, Wolfgang; Castellano, Michael J; Chen, Junping; Costich, Denise; de Leon, Natalia; ",Cerca-Circular Economy That Reimagines Corn Agriculture,"ASA, CSSA, SSSA International Annual Meeting",,,,2024,ASA-CSSA-SSSA
"Pugh, Nicholas Ace; de Leon, Natalia; Romay, Maria Cinta; Buckler, Edward S; Chen, Junping; ",Field-Based Screening and UAV Phenotyping for Cold and Freezing Tolerance in Maize,"ASA, CSSA, SSSA International Annual Meeting",,,,2024,ASA-CSSA-SSSA
"Vorontsova, Maria S; Petersen, Kurt B; Minx, Patrick; Aubuchon-Elder, Taylor M; Romay, M Cinta; Buckler, Edward S; Kellogg, Elizabeth A; ",814ca123-0288-4e2e-acc3-f5adfdc99ab5-Reinstatement_and_expansion_of_the_genus_Anatherum_Andropogoneae_Panicoideae_Poaceae_. pdf Page 08,,,,,,
"Epstein, Ruth; Wheeler, JJ; Hubisz, Melissa; Sun, Qi; Bukowski, Robert; Zhai, Jingjing; Lai, Wei-Yun; Buckler, Edward; Pawlowski, Wojtek P; ",The maize recombination landscape evolved during domestication,bioRxiv,,,2024.11. 04.621928,2024,Cold Spring Harbor Laboratory
"Long, Evan M; Stitzer, Michelle C; Monier, Brandon; Schulz, Aimee J; Romay, Maria Cinta; Robbins, Kelly R; Buckler, Edward S; ",Evolutionary signatures of the erosion of sexual reproduction genes in domesticated cassava (Manihot esculenta),"G3: Genes, Genomes, Genetics",15,2,jkae282,2025,Oxford University Press US
"Gage, Joseph L; Romay, M Cinta; Buckler, Edward S; ",Maize inbreds show allelic variation for diel transcription patterns,bioRxiv,,,,2024,
"Gore, Michael; Andrade-Sanchez, Pedro; Buckler, Edward; DellaPenna, Dean; French, Andrew; Poland, Jesse; Rocheford, Torbert; White, Jeffrey; ",Next-Generation Platforms for the Genetic Analysis of Complex Traits.,"ASA, CSSA and SSSA Annual Meetings (Cincinnati, OH-Oct. 21-Oct. 24, 2012)",,,,2012,ASA-CSSA-SSSA
"Stitzer, Michelle C; Seetharam, Arun S; Scheben, Armin; Hsu, Sheng-Kai; Schulz, Aimee J; AuBuchon-Elder, Taylor M; El-Walid, Mohamed; Ferebee, Taylor H; Hale, Charles O; La, Thuy; ",Extensive genome evolution distinguishes maize within a stable tribe of grasses,Biorxiv,,,,2025,
"Piri, Rebecca D; Wang, Mingyu; Romay, M Cinta; Buckler, Edward S; Dawe, R Kelly; ",Higher order repeat structures reflect diverging evolutionary paths in maize centromeres and knobs,Genome Biology,27,1,99,2026,BioMed Central London
"Song, Baoxing; Buckler, Edward S; Stitzer, Michelle C; ",New whole-genome alignment tools are needed for tapping into plant diversity,Trends in Plant Science,29,3,355-369,2024,Elsevier
"Bradbury, Peter; Zhang, Nengyi; Gibon, Yves; Stitt, Mark; Buckler, Edward S; ",Association mapping across numerous traits reveals patterns of functional variation in maize,Association mapping across numerous traits reveals patterns of functional variation in maize (2014),,,,2014,
"Almaraz, Maya; Davidson, Eric A; Spiegal, Sheri; Zhang, Xin; Brooke, Charles; Anderson, Karl; Buckler, Edward; ",Nitrogen 2.0: The Next Generation of Nitrogen Management in Food Production Systems,AGU Fall Meeting Abstracts,2024,8,GC52G-08,2024,
"Tu, Xiaoyu; Mejia-Guerra, Maria Katherine; Franco, Jose A Valdes; Tzeng, David; Chu, Po-Yu; Shen, Wei; Wei, Yingying; Dai, Xiuru; Li, Pinghua; Buckler, Edward S; ","Reconstructing the maize leaf regulatory network using ChIP-seq data of 104 transcription factors (vol 11, 5089, 2020)",NATURE COMMUNICATIONS,14,1,,2023,"NATURE PORTFOLIO HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY"
"Lepak, Nicholas; Gore, Michael; Buckler, Ed; ",QTL Analysis of Armyworm Resistance in Maize.,2008 Joint Annual Meeting (5-9 Oct. 2008),,,,2008,ASA-CSSA-SSSA
"Fang, Lingzhao; Teng, Jinyan; Lin, Qing; Bai, Zhonghao; Liu, Shuli; Guan, Dailu; Li, Bingjie; Gao, Yahui; Hou, Yali; Gong, Mian; ",The farm animal genotype–tissue expression (FarmGTEx) project,Nature genetics,57,4,786-796,2025,Nature Publishing Group US New York
"Baseggio, Matheus; Murray, Matthew; Magallanes-Lundback, Maria; Kaczmar, Nicholas; Chamness, James; Buckler, Edward S; Smith, Margaret E; DellaPenna, Dean; Tracy, William F; Gore, Michael A; ",Open Library of Bioscience,,,,,,
"Costich, Denise; Redmond, Patrick; Lu, Fei; Casler, Michael; Cherney, Jerome; Buckler, Edward; ",Ploidy Variation and Reproductive Pathways In Upland Switchgrass.,"ASA, CSSA and SSSA Annual Meetings (San Antonio, TX-Oct. 16-19, 2011)",,,,2011,ASA-CSSA-SSSA
"Lu, Fei; Lipka, Alexander E; Elshire, Robert; Glaubitz, JC; Cherney, Jerome H; Casler, Michael; Buckler, Edward S; Costich, Denise; ",Characterization of the Genetic Diversity of Perennial Grasses Using Genotyping by Sequencing.,"ASA, CSSA and SSSA Annual Meetings (San Antonio, TX-Oct. 16-19, 2011)",,,,2011,ASA-CSSA-SSSA
"Lipka, Alexander E; Lu, Fei; Gore, Michael; Paddock, Kenneth M; Lepak, Nicholas; Cherney, Jerome H; Casler, Michael; Buckler, Edward S; Costich, Denise; ",Genome-Wide Association Studies and Genomic Selection In Perennial Grasses.,"ASA, CSSA and SSSA Annual Meetings (San Antonio, TX-Oct. 16-19, 2011)",,,,2011,ASA-CSSA-SSSA
"Gore, Michael A; Kandianis, Catherine B; Lipka, Alexander; Owens, Brenda F; Tiede, Tyler; Diepenbrock, Christine H; Rocheford, Torbert; Buell, C Robin; Buckler, Edward; DellaPenna, Dean; ","The Road to Biofortification: Progress and Prospects for Orange, High Provitamin Α Maize.","ASA, CSSA and SSSA International Annual Meetings (2014)",,,,2014,ASA-CSSA-SSSA
"Hale, Charles O; Hsu, Sheng-Kai; Zhai, Jingjing; Schulz, Aimee J; Aubuchon-Elder, Taylor; Costa-Neto, Germano; Gelfond, Allen; El-Walid, Mohamed; Hufford, Matthew; Kellogg, Elizabeth A; ",Extensive modulation of a conserved cis-regulatory code across 589 grass species,bioRxiv,,,2025.04. 23.650228,2025,Cold Spring Harbor Laboratory
"Cordoba-Novoa, Henry; Buckler, Edward S; Romay, Cinta M; Berthel, Ana; Johnson, Lynn; Balasubramanian, Parthiba; Hoyos-Villegas, Valerio; ",Phylogenetic Analysis and Machine Learning Identify Signatures of Selection and Predict Deleterious Mutations in Common Bean,bioRxiv,,,2025.05. 05.652309,2025,Cold Spring Harbor Laboratory
"Oren, Elad; Zhai, Jingjing; Rooney, Travis E; Angelovici, Ruthie; Hale, Charles O; Brindisi, Lara J; Hsu, Sheng-Kai; Gault, Christine M; Hua, Jian; La, Thuy; ",Grass Rhizome Proteomics Reveals Convergent Freezing-Tolerance Strategies,bioRxiv,,,,2025,
"Buckler, Edward S; ",PGR: PanAnd-Harnessing convergence and constraint to predict adaptations to abiotic stress for maize and sorghum,NSF Award Number 1822330. Directorate for Biological Sciences,18,1822330,22330,2018,
"Buckler, Edward S; ",Genetic Architecture of Maize and Teosinte,NSF Award Number 0820619. Directorate for Biological Sciences,8,820619,20619,2009,
"Buckler, Edward S; ",High Density Scoreable Markers for Maize Trait Dissection,NSF Award Number 0638566. Directorate for Biological Sciences,6,638566,38566,2006,
"Buckler, Edward S; ","BREAD: Platform, Pipeline, and Analytical Tools for Next Generation Genotyping to Serve Breeding Efforts in Africa",NSF Award Number 0965342. Directorate for Biological Sciences,9,965342,65342,2010,
"Buckler, Edward S; ",Biology of Rare Alleles in Maize and Its Wild Relatives,NSF Award Number 1238014. Directorate for Biological Sciences,12,1238014,38014,2013,
"Li, Forrest; Gates, Daniel J; Buckler, Edward S; Hufford, Matthew B; Janzen, Garrett M; Rellán-Álvarez, Rubén; Rodríguez-Zapata, Fausto; Romero Navarro, J Alberto; Sawers, Ruairidh JH; Snodgrass, Samantha J; ",Environmental data provide marginal benefit for predicting climate adaptation,PLoS genetics,21,6,e1011714,2025,"Public Library of Science San Francisco, CA USA"
"Sood, Shilpa; Glaubitz, Jeff; Larsson, Sara; Buckler, Edward S; Holland, James B; ",Fine-Mapping Small Effect Flowering Time QTLs in Maize: Genetic Architecture Is Complex.,"ASA, CSSA and SSSA International Annual Meetings (2013)",,,,2013,ASA-CSSA-SSSA
"de Leon, Natalia; Murray, Seth C; Buckler, Edward S; Romay, Maria Cinta; ",Symposium--Special Session--Transforming Corn Nitrogen through Cerca; A Circular Economy That Reimagines Corn Agriculture,CANVAS 2025,,,,,ASA-CSSA-SSSA
"Hsu, Sheng‐Kai; Emmett, Bryan D; Haafke, Alexandria; Costa‐Neto, Germano; Schulz, Aimee J; Lepak, Nicholas; La, Thuy; AuBuchon‐Elder, Taylor M; Hale, Charles O; Raglin, Sierra S; ",Contrasting rhizosphere nitrogen dynamics in Andropogoneae grasses,The Plant Journal,123,1,e70319,2025,
"Varshney, Rajeev K; Ribaut, Jean-Marcel; Buckler, Edward S; Tuberosa, Roberto; Rafalski, J Antoni; Langridge, Peter; ",A prototrophic deletion mutant collection for yeast metabolomics and systems biology,Trends Biotechnol,27,,522-530,2009,
"Ojeda-Rivera, Jonathan Odilón; Barnes, Allison C; Ainsworth, Elizabeth A; Angelovici, Ruthie; Basso, Bruno; Brindisi, Lara J; Brooks, Matthew D; Busch, Wolfgang; Buttelmann, Gretta L; Castellano, Michael J; ",Designing a nitrogen-efficient cold-tolerant maize for modern agricultural systems,The Plant Cell,37,7,koaf139,2025,Oxford University Press US
"Herr, Sam; Wickes-Do, Liam; Robinson, David M; Romay, Maria Cinta; Buckler, Edward S; Emmett, Bryan; Gore, Michael A; ",Biological Nitrification Inhibition in Maize Stover: How Does Variation in Stover Lignin Composition Affect Soil Nitrification?,CANVAS 2025,,,,2025,ASA-CSSA-SSSA
"Tilley, Chloe; Gregory, Luke Michael; Wickes-Do, Liam; Farmer, Erin; Lee, Seungjoon; LePak, Nick; Romay, Cinta; Buckler, Edward S; Sun, Ying; Gore, Michael A; ",Validating UAV-Based Crop Architecture Traits with Non-Destructive Ground Truth Data,CANVAS 2025,,,,2025,ASA-CSSA-SSSA
"Herr, Sam; Wickes-Do, Liam; Farmer, Erin; Yan, Ruyu; Michael, Peter; Gu, Zeqi; Castañon, Amparo Sofia Daza; Lepak, Nicholas; Harman-Ware, Anne E; de Leon, Natalia; ",Genomic and Phenomic Prediction of Lignin in Maize Stover,CANVAS 2025,,,,2025,ASA-CSSA-SSSA
"Farmer, Erin; Michael, Peter; Gu, Zeqi; Yan, Ruyu; Wickes-Do, Liam; Lepak, Nicholas; Romay, Maria Cinta; Buckler, Edward S; Sun, Ying; Robbins, Kelly R; ",Multi-Modal Proximal Sensing Data Integration for Improved Prediction of Key Agronomic Crop Traits,CANVAS 2025,,,,2025,ASA-CSSA-SSSA
"Herr, Sam; Robinson, David M; Romay, Maria Cinta; Buckler, Edward S; Emmett, Bryan; Gore, Michael A; ",Biological Nitrification Inhibition in Maize: How Can We Breed Maize to Reduce Nitrogen Loss?,CANVAS 2025,,,,2025,ASA-CSSA-SSSA
"Buckler, Edward S; Romay, Cinta; ",Future Directions and Discussion for CERCA,CANVAS 2025,,,,2025,ASA-CSSA-SSSA
"Zhai, Jingjing; Gokaslan, Aaron; Hsu, Sheng-Kai; Chen, Szu-Ping; Liu, Zong-Yan; Marroquin, Edgar; Czech, Eric; Cannon, Betsy; Berthel, Ana; Romay, M Cinta; ",PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms,bioRxiv,,,,2025,
"Varshney, Rajeev K; Shi, Chengcheng; Thudi, Mahendar; Mariac, Cedric; Wallace, Jason; Qi, Peng; Zhang, He; Zhao, Yusheng; Wang, Xiyin; Srivastava, Rakesh K; ","Data files related to Pearl millet draft genome assembly v1. 1, scaffolds and annotations",,,,,,
"Castellano, Michael J; Buckler, Edward S; Ainsworth, Elizabeth; Angelovici, Ruthie; Basso, Bruno; Brooks, Matthew; Busch, Wolfgang; Chen, Junping; de Leon, Natalia; Emmett, Bryan; ",CERCA: Circular Economy That Reimagines Corn Agriculture,CANVAS 2025,,,,2025,ASA-CSSA-SSSA
"Tandukar, Nirwan; Pil, Hannah; Zapata, Fausto Rodríguez; Romay, Cinta; Ojeda-Rivera, Jonathan Odilón; Fritz, Katelyn; López-Corona, Lina; Insko, Lauren; Lai, Wei-Yun; Glover, Zehta; ",Leveraging Natural Variation of the Zea Genus to Study Nitrogen Efficiency in Corn,CANVAS 2025,,,,2025,ASA-CSSA-SSSA
"Baum, Mitch E; Brindisi, Lara; Herr, Sam; Ainsworth, Elizabeth; Emmett, Bryan; Hirsch, Candice; Kaeppler, Shawn M; de Leon, Natalia; McGee, Rebecca J; Northrup, Daniel; ",Modeling Insights into N2. 0: A Deep Dive into Production and Ecosystem Service Improvements,CANVAS 2025,,,,2025,ASA-CSSA-SSSA
"Ganesan, Mathavan A; Hale, Charles O; Romay, M Cinta; Buckler, Edward S; Stitzer, Michelle C; ",High-Quality Draft Genome Assemblies and Comparative Genomics of Three Bouteloua Species (Poaceae: Chloridoideae),bioRxiv,,,2025.10. 15.682643,2025,Cold Spring Harbor Laboratory
"Wang, Shuai; Khaipho-Burch, Merritt; Johnson, Lynn C; Miller, Zachary R; Bradbury, Peter J; Speed, Doug; Allen, William J; Romay, M Cinta; Xue, Jiquan; Buckler, Edward S; ",Predicted protein 3D structures provide essential insights into the genetic architecture underlying phenotypic diversity in maize,Genome Research,36,1,214-225,2026,Cold Spring Harbor Lab
"Liu, Zong-Yan; Berthel, Ana; Czech, Eric; Stitzer, Michelle; Hsu, Sheng-Kai; Pennell, Matt; Buckler, Edward S; Zhai, Jingjing; ",GeneCAD: Plant Genome Annotation with a DNA Foundation Model,bioRxiv,,,2025.10. 31.685877,2025,Cold Spring Harbor Laboratory
"Stitzer, Michelle C; Khaipho-Burch, Merritt B; Hudson, Asher I; Song, Baoxing; Valdez-Franco, Jose Arcadio; Ramstein, Guillaume; Feschotte, Cedric; Buckler, Edward S; ",Transposable element abundance subtly,,,,,,
